Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Nimona,"Animation, Action, Adventure","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
Elemental,"Animation, Adventure, Comedy","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together."
The Super Mario Bros. Movie,"Animation, Adventure, Comedy","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess."
"Ruby Gillman, Teenage Kraken","Animation, Action, Adventure","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure",The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.
Puss in Boots: The Last Wish,"Animation, Adventure, Comedy","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
Mulan,"Animation, Adventure, Comedy","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
Spider-Man: Beyond the Spider-Verse,"Animation, Action, Adventure","After leaving off from Spider-Man: Across the Spider-Verse, the story continues."
Sing 2,"Animation, Adventure, Comedy",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
Cars,"Animation, Adventure, Comedy","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
Fantastic Mr. Fox,"Animation, Adventure, Comedy",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
Encanto,"Animation, Comedy, Family",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
Resident Evil: Death Island,"Animation, Action, Adventure","D.S.O. agent Leon S. Kennedy is on a mission to rescue Dr. Antonio Taylor from kidnappers, when a mysterious woman thwarts his pursuit. Meanwhile, B.S.A.A. agent Chris Redfield is ...See full summary»"
Mavka. Lisova pisnya,"Animation, Adventure, Comedy",Mavka must choose between love and duty to protect the Heart of the Forest.
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
Ratatouille,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Moana,"Animation, Adventure, Comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
The Lion King,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Toy Story,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Inside Out,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
