Sound of Freedom,"Action, Biography, Drama",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.
Oppenheimer,"Biography, Drama, History",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Bob Marley: One Love,"Biography, Drama, Music",A look at the life of legendary reggae musician Bob Marley.
The Iron Claw,"Biography, Drama, Sport","Follows the story of the Von Erichs, a dynasty of wrestlers who made a great impact on the sport from the 1960s to the present day."
The Wolf of Wall Street,"Biography, Comedy, Crime","Based on the true story ofJordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
BlackBerry,"Biography, Comedy, Drama",The story of the meteoric rise and catastrophic demise of the world's first smartphone.
Tetris,"Biography, Drama, History","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses."
Flamin' Hot,"Biography, Drama, History","This is the inspiring ""true"" story of Richard Montañez who, as a Frito Lay janitor, disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon."
GoodFellas,"Biography, Crime, Drama","The story ofHenry Hilland his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Tombstone,"Biography, Drama, History","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
Schindler's List,"Biography, Drama, History","In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
American Sniper,"Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
Thank You for Your Service,"Biography, Drama, War","A group of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield."
Hacksaw Ridge,"Biography, Drama, History","World War II American Army MedicDesmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Born on the Fourth of July,"Biography, Drama, War","The biography ofRon Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought."
Yankee Doodle Dandy,"Biography, Drama, Family","The life of the renowned musical composer, playwright, actor, dancer, and singerGeorge M. Cohan."
