Sound of Freedom (2023),"Action, Biography, Drama",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.
Oppenheimer (2023),"Biography, Drama, History",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Asteroid City (2023),"Comedy, Drama, Romance","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
Nimona (2023),"Animation, Action, Adventure","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
Killers of the Flower Moon (2023),"Crime, Drama, History","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover."
Lust Stories 2 (2023),"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories""."
Elemental (2023),"Animation, Adventure, Comedy","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together."
Dune: Part Two (2023),"Action, Adventure, Drama",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Titanic (1997),"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Culpa mía (2023),Drama,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret."
Bone Tomahawk (2015),"Drama, Horror, Western","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
Dune: Part One (2021),"Action, Adventure, Drama",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Past Lives (2023),"Drama, Romance","Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Knights of the Zodiac (2023),"Action, Adventure, Drama","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac."
Rebel Moon (2023),"Action, Adventure, Drama",A young woman seeks out warriors from other planets to fight the tyrannical armies terrorizing her peaceful colony.
Top Gun: Maverick (2022),"Action, Drama","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Interstellar (2014),"Adventure, Drama, Sci-Fi","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Beau Is Afraid (2023),"Comedy, Drama, Horror","Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
Haunted Mansion (2023),"Comedy, Drama, Family","A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts."
A Man Called Otto (2022),"Comedy, Drama","Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
Don't Worry Darling (I) (2022),"Drama, Thriller","While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
Annihilation (I) (2018),"Adventure, Drama, Horror","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Babylon (I) (2022),"Comedy, Drama, History","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Air (I) (2023),"Drama, Sport","Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
The Shawshank Redemption (1994),Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
The Godfather (1972),"Crime, Drama","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Nobody (I) (2021),"Action, Crime, Drama","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
Bob Marley: One Love (2024),"Biography, Drama, Music",A look at the life of legendary reggae musician Bob Marley.
The Iron Claw (),"Biography, Drama, Sport","Follows the story of the Von Erichs, a dynasty of wrestlers who made a great impact on the sport from the 1960s to the present day."
