Sound of Freedom (2023),"Action, Biography, Drama",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.
Oppenheimer (2023),"Biography, Drama, History",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Killers of the Flower Moon (2023),"Crime, Drama, History","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover."
Babylon (I) (2022),"Comedy, Drama, History","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
The Patriot (2000),"Action, Drama, History",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
BlackBerry (2023),"Biography, Comedy, Drama",The story of the meteoric rise and catastrophic demise of the world's first smartphone.
1776 (1972),"Drama, Family, History",A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
Tetris (2023),"Biography, Drama, History","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses."
Flamin' Hot (2023),"Biography, Drama, History","This is the inspiring ""true"" story of Richard Montañez who, as a Frito Lay janitor, disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon."
The Woman King (2022),"Action, Drama, History","A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
Tombstone (1993),"Biography, Drama, History","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
Schindler's List (1993),"Biography, Drama, History","In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Dunkirk (2017),"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Amsterdam (2022),"Comedy, Drama, History","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
Hacksaw Ridge (2016),"Biography, Drama, History","World War II American Army MedicDesmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The Big Short (2015),"Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
Gettysburg (1993),"Drama, History, War","In 1863, the Northern and Southern forces fight at Gettysburg in the decisive battle of the American Civil War."
Bridge of Spies (2015),"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
The Northman (2022),"Action, Adventure, Drama",A young Viking prince is on a quest to avenge his father's murder.
Hamilton (2020),"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Braveheart (1995),"Biography, Drama, History",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Chevalier (2022),"Biography, Drama, History","Based on factual story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African enslaved and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair."
Black Hawk Down (2001),"Action, Drama, History","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
Napoleon (2023),"Action, Biography, Drama","The film takes a personal look at Napoleon Bonaparte's origins, and his swift, ruthless climb to emperor viewed through the prism of his addictive, and often volatile, relationship with his wife and one true love, Josephine."
Mary Queen of Scots (2018),"Biography, Drama, History","Mary Stuart's (Saoirse Ronan's) attempt to overthrow her cousin Elizabeth I (Margot Robbie), Queen of England, finds her condemned to years of imprisonment before facing execution."
Hidden Figures (2016),"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Les trois mousquetaires: D'Artagnan (2023),"Action, Adventure, History","D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King."
Blonde (2022),"Drama, History, Romance","The story of American actressMarilyn Monroe, covering her love and professional lives."
Pearl Harbor (2001),"Action, Drama, History",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
