Bob Marley: One Love (2024),"Biography, Drama, Music",A look at the life of legendary reggae musician Bob Marley.
A Star Is Born (2018),"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
Whiplash (2014),"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Tár (2022),"Drama, Music","Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra."
Yankee Doodle Dandy (1942),"Biography, Drama, Family","The life of the renowned musical composer, playwright, actor, dancer, and singerGeorge M. Cohan."
Amadeus (1984),"Biography, Drama, Music","The life, success and troubles ofWolfgang Amadeus Mozart, as told byAntonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
Dirty Dancing (I) (1987),"Drama, Music, Romance","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
Weird: The Al Yankovic Story (2022),"Comedy, Crime, Music","Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
La La Land (2016),"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Chevalier (2022),"Biography, Drama, History","Based on factual story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African enslaved and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair."
Baby Driver (2017),"Action, Crime, Drama","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Elvis (2022),"Biography, Drama, Music","The life of American music iconElvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, ColonelTom Parker."
School of Rock (2003),"Comedy, Music","After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
A Beautiful Life (I) (2023),"Drama, Music, Romance","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
Pitch Perfect (2012),"Comedy, Music, Romance","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
Green Book (2018),"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
The Pianist (2002),"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Bohemian Rhapsody (2018),"Biography, Drama, Music","The story of the legendary British rock bandQueenand lead singerFreddie Mercury, leading up to their famous performance atLive Aid(1985)."
Coco (I) (2017),"Animation, Adventure, Drama","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Purple Hearts (2022),"Drama, Music, Romance","In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur."
The Phynx (1970),"Comedy, Music",A rock band becomes embroiled in foreign affairs when they're sent to go on tour in Albania as a cover to find hostages in a remote castle held by Communist enemies of the U.S.
Vengeance (II) (2022),"Comedy, Music, Mystery",A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
Almost Famous (2000),"Adventure, Comedy, Drama",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
CODA (2021),"Comedy, Drama, Music","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
Whitney Houston: I Wanna Dance with Somebody (2022),"Biography, Drama, Music","A joyous, emotional, heartbreaking celebration of the life and music ofWhitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical super stardom."
Coyote Ugly (2000),"Comedy, Drama, Music","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
The Wedding Singer (1998),"Comedy, Music, Romance","Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
Bill & Ted's Excellent Adventure (1989),"Adventure, Comedy, Music","Two rock-'n-rolling teens, on the verge of failing their class, set out on a quest to make the ultimate school history report after being presented with a time machine."
World's Best (2023),"Comedy, Family, Music","Follows Raj Patel, who is an expert at math but is also secretly obsessed with his late father's dream of becoming a rap musician, and he almost loses everything in his attempt to achieve multiple goals in life."
Soul (2020),"Animation, Adventure, Comedy","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
Forever My Girl (2018),"Comedy, Drama, Music",After being gone for a decade a country star returns home to the love he left behind.
Footloose (1984),"Drama, Music, Romance","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
The Blues Brothers (1980),"Action, Adventure, Comedy","Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
"O Brother, Where Art Thou? (2000)","Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Wayne's World (1992),"Comedy, Music",Two slacker friends try to promote their public-access cable show.
8 Mile (2002),"Drama, Music","Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."
Tenacious D in The Pick of Destiny (2006),"Adventure, Comedy, Music","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Rocketman (I) (2019),"Biography, Drama, Music",A musical fantasy about the fantastical human story ofElton John's breakthrough years.
Some Like It Hot (1959),"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Straight Outta Compton (2015),"Biography, Drama, History","The rap groupNWAemerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
Sound of Metal (2019),"Drama, Music",A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
Walk the Line (2005),"Biography, Drama, Music","A chronicle of country music legendJohnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongsideElvis Presley,Jerry Lee Lewis, andCarl Perkins."
Dirty Dancing: Havana Nights (2004),"Drama, Music, Romance","High school senior Katey moves to Havana in November 1958, when her dad gets a promotion at Ford. She meets a local waiter, who introduces her to sensual Cuban music/dance. They enter a big dance contest for the prize when he gets fired."
Climax (I) (2018),"Drama, Horror, Music","French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
9 Songs (2004),"Drama, Music, Romance","In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts."
Trolls (2016),"Animation, Adventure, Comedy","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
La pianiste (2001),"Drama, Music",A young man romantically pursues his masochistic piano teacher.
Maestro (2023),"Biography, Drama, Music","The complex love of Leonard and Felicia, from the time they met in 1946 at a party and continuing through two engagements, a 25 year marriage, and three children."
Rio (2011),"Animation, Adventure, Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Tarzan (1999),"Animation, Adventure, Comedy",A man raised by gorillas must decide where he really belongs when he discovers he is a human.
Saturday Night Fever (1977),"Drama, Music","Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco."
Freaky Friday (2003),"Comedy, Family, Fantasy","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
Yesterday (III) (2019),"Comedy, Fantasy, Music",A struggling musician realizes he's the only person on Earth who can rememberThe Beatlesafter waking up in an alternate reality where they never existed.
Dick Tracy (1990),"Action, Comedy, Crime",The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
Green Room (2015),"Crime, Drama, Horror",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
The Dirt (2019),"Biography, Comedy, Drama","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame."
Top Secret! (1984),"Comedy, Crime, Music",An American rock and roll singer (Val Kilmer) becomes involved in a Resistance plot to rescue a scientist (Michael Gough) imprisoned in East Germany.
The Piano (1993),"Drama, Music, Romance","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
Singles (1992),"Comedy, Drama, Music",A group of twenty-something friends search for love and success in grunge-era Seattle.
Grease 2 (1982),"Comedy, Music, Musical",A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
