The Little Mermaid,"Adventure, Family, Fantasy",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
Satyaprem Ki Katha,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
1776,"Drama, Family, History",A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
Roald Dahl's Matilda the Musical,"Comedy, Drama, Family","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
Wonka,"Adventure, Comedy, Family",The story will focus specifically on a young Willy Wonka and how he met the Oompa-Loompas on one of his earliest adventures.
Mulan,"Animation, Adventure, Comedy","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
Yankee Doodle Dandy,"Biography, Drama, Family","The life of the renowned musical composer, playwright, actor, dancer, and singerGeorge M. Cohan."
Les Misérables,"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
The Ballad of Buster Scruggs,"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
Sing 2,"Animation, Adventure, Comedy",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
Hamilton,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
The Music Man,"Comedy, Family, Musical",Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.
Joker: Folie à Deux,"Crime, Drama, Musical",Plot unknown. Sequel to the 2019 film 'Joker.'
Encanto,"Animation, Comedy, Family",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
The Greatest Showman,"Biography, Drama, Musical",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
La La Land,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Mamma Mia!,"Comedy, Musical, Romance",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s groupABBA.
Moana,"Animation, Adventure, Comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
The Lion King,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Grease,"Comedy, Musical, Romance","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Sing,"Animation, Comedy, Family","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
Peter Pan & Wendy,"Action, Adventure, Comedy","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
Mamma Mia! Here We Go Again,"Comedy, Musical, Romance","Five years after the events ofMamma Mia!(2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Beauty and the Beast,"Adventure, Family, Fantasy","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
