Killers of the Flower Moon,"Crime, Drama, History","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover."
Insidious: The Red Door,"Horror, Mystery, Thriller",The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.
Fast X,"Action, Adventure, Crime",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
X,"Horror, Mystery, Thriller","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
Jaws,"Adventure, Mystery, Thriller","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Haunted Mansion,"Comedy, Drama, Family","A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts."
Insidious,"Horror, Mystery, Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
Infinity Pool,"Crime, Horror, Mystery","James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
Annihilation,"Adventure, Drama, Horror","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
The Car,"Action, Horror, Mystery","A small desert town is terrorized by a powerful, seemingly possessed car, and the local sheriff may be the only one who can stop it."
Midsommar,"Drama, Horror, Mystery",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
The Nun II,"Horror, Mystery, Thriller","1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun."
Scream VI,"Horror, Mystery, Thriller","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
The Boogeyman,"Horror, Mystery, Thriller","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
Blade Runner 2049,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
