Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
No Hard Feelings (2023),"Comedy, Romance","On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
Asteroid City (2023),"Comedy, Drama, Romance","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
Lust Stories 2 (2023),"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories""."
The Out-Laws (2023),"Action, Comedy, Crime","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
Titanic (1997),"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
The Little Mermaid (I) (2023),"Adventure, Family, Fantasy",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
"Red, White & Royal Blue (2023)","Comedy, Romance",The son of the American President sparks a feud with Britain's prince.
Past Lives (2023),"Drama, Romance","Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Love (II) (2015),"Drama, Romance","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Priyotoma (2023),"Action, Drama, Romance","A tragic love story that left an indelible mark on Sumon's life, shattering his world and leaving him forever transformed."
A Star Is Born (2018),"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
Ghosted (I) (2023),"Action, Adventure, Comedy","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
Satyaprem Ki Katha (2023),"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
Bridesmaids (I) (2011),"Comedy, Romance","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Pride & Prejudice (2005),"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Forrest Gump (1994),"Drama, Romance","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Surongo (2023),"Crime, Mystery, Romance",A simple electrician from a village turns to crime and goes to extreme lengths to satisfy his love.
Lust Stories (2018),"Drama, Romance","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
The Perfect Find (2023),"Comedy, Drama, Romance","After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret romance."
Immortals (2011),"Action, Drama, Fantasy","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
Where the Crawdads Sing (2022),"Drama, Mystery, Romance",A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
Fifty Shades of Grey (2015),"Drama, Romance, Thriller","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The French Dispatch (2021),"Comedy, Drama, Romance","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
Twilight (I) (2008),"Drama, Fantasy, Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
Challengers (2023),"Drama, Romance, Sport","Follows three players who knew each other when they were teenagers as they compete in a tennis tournament to be the world-famous grand slam winner, and reignite old rivalries on and off the court."
Thor: Love and Thunder (2022),"Action, Adventure, Comedy","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
365 dni (2020),"Drama, Romance","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
After (I) (2019),"Drama, Romance",A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel byAnna Todd.
A través del mar (2023),"Comedy, Drama, Romance",Follows Raquel and Ares as they face challenges in the next chapter of their relationship and their individual lives.
Beautiful Disaster (2023),"Drama, Romance","College freshman, Abby, tries to distance herself from her dark past while resisting her attraction to bad boy, Travis."
Good Will Hunting (1997),"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Biosphere (2022),"Comedy, Drama, Mystery","In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity."
The Dreamers (2003),"Drama, Romance",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
"Crazy, Stupid, Love. (2011)","Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
The Girl Next Door (2004),"Comedy, Drama, Romance",A teenager's dreams come true when a former porn star moves in next door and they fall in love.
Les Misérables (2012),"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
Me Before You (2016),"Drama, Romance",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
A través de mi ventana (2022),"Comedy, Drama, Romance","Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections."
The Ballad of Buster Scruggs (2018),"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
The Princess Bride (1987),"Adventure, Comedy, Family","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Dirty Dancing (I) (1987),"Drama, Music, Romance","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
Casablanca (1942),"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Little Women (2019),"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
The Parent Trap (1998),"Adventure, Comedy, Drama","Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
Maleficent: Mistress of Evil (2019),"Adventure, Family, Fantasy","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play."
The Music Man (1962),"Comedy, Family, Musical",Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.
Eternal Sunshine of the Spotless Mind (2004),"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
The Notebook (2004),"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
Remember Me (I) (2010),"Drama, Romance","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
10 Things I Hate About You (1999),"Comedy, Drama, Romance","A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
This Is 40 (2012),"Comedy, Drama, Romance","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
Bones and All (2022),"Drama, Horror, Romance",A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.
La La Land (2016),"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Call Me by Your Name (2017),"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Gone with the Wind (1939),"Drama, Romance, War",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
Book Club (I) (2018),"Comedy, Drama, Romance",Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.
Clueless (1995),"Comedy, Romance","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
Warm Bodies (2013),"Comedy, Horror, Romance","After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
Moonrise Kingdom (2012),"Comedy, Drama, Family","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Crazy Rich Asians (2018),"Comedy, Drama, Romance","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
Mamma Mia! (2008),"Comedy, Musical, Romance",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s groupABBA.
A Room with a View (1985),"Drama, Romance","Lucy Honeychurch (Helena Bonham-Carter) shares a brief romance with George Emerson in Florence. Yet as she tries to move on with her life and look for marriage elsewhere, can she truly forget the events of that summer?"
The 40 Year Old Virgin (2005),"Comedy, Romance","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
The Last Letter from Your Lover (2021),"Drama, Romance",A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.
The Best Years of Our Lives (1946),"Drama, Romance, War","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
Vicky Cristina Barcelona (2008),"Comedy, Drama, Romance","Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
Q (2011),"Drama, Romance","In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cecile, a character who symbolizes desire."
Ticket to Paradise (2022),"Comedy, Romance",A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.
Lolita (1997),"Drama, Romance","An English professor falls for a minor, and has to face the consequences of his actions."
About Time (I) (2013),"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Unfaithful (2002),"Drama, Romance, Thriller",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
Grease (1978),"Comedy, Musical, Romance","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
A Beautiful Life (I) (2023),"Drama, Music, Romance","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
A Knight's Tale (2001),"Action, Adventure, Romance","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
La vie d'Adèle (2013),"Drama, Romance","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
Maybe I Do (2023),"Comedy, Romance","Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage."
Her (2013),"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Sen Inandir (2023),"Comedy, Romance",Two meddling grannies trick their adult grandkids into a meet-cute that reignites a childhood crush and old grudges.
Pitch Perfect (2012),"Comedy, Music, Romance","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
P.S. I Love You (2007),"Comedy, Drama, Romance",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
Peter Pan & Wendy (2023),"Action, Adventure, Comedy","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
Forgetting Sarah Marshall (2008),"Comedy, Drama, Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
Romeo + Juliet (1996),"Drama, Romance",Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
The Blue Lagoon (1980),"Adventure, Drama, Romance","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
Carry on Jatta 3 (2023),"Comedy, Drama, Romance","Advocate Dhillon's son, Jass, is in love with Meet but her brothers get in a tussle with Adv. Dhillon. As a result, Adv. Dhillon rejects Meet's hand in marriage. Left with no option, Jass weaves a madhouse plan to propose to his friend."
Mamma Mia! Here We Go Again (2018),"Comedy, Musical, Romance","Five years after the events ofMamma Mia!(2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Licorice Pizza (2021),"Comedy, Drama, Romance","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
Robots (I) (2023),"Comedy, Romance, Sci-Fi",Charles is a womanizer while Elaine is a gold digger. The duo learn humanity when forced to team up and pursue robot doubles of themselves.
Ah-ga-ssi (2016),"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Blonde (2022),"Drama, History, Romance","The story of American actressMarilyn Monroe, covering her love and professional lives."
Sex Drive (2008),"Comedy, Romance",A high-school senior drives cross-country with his best friends to hook up with a babe he met online.
Beauty and the Beast (I) (2017),"Adventure, Family, Fantasy","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
The Lost City (2022),"Action, Adventure, Comedy",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Pearl Harbor (2001),"Action, Drama, History",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
Witness (1985),"Drama, Romance, Thriller","When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother, police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country."
Lie with Me (2005),"Drama, Romance","An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives."
Silver Linings Playbook (2012),"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
The Age of Adaline (2015),"Drama, Fantasy, Romance","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
You People (2023),"Comedy, Romance","Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
Murder Mystery 2 (2023),"Action, Comedy, Crime","Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding."
Driving Miss Daisy (1989),"Comedy, Drama, Romance",An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
Malèna (2000),"Drama, Romance, War","Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
Legally Blonde (2001),"Comedy, Romance","Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks."
True Romance (1993),"Crime, Drama, Romance","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
After We Collided (2020),"Drama, Romance","Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
Summer School (1987),"Comedy, Romance","Freddy the gym teacher has to teach remedial English in summer (high) school, if he wants tenure. As he can only teach gym and his students want fun, emphasis is on ""field trips"" - until he's fired unless all his students pass the test."
Miraculous - Le film (2023),"Animation, Action, Adventure","Ordinary teenager Marinette's life in Paris goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city."
Scott Pilgrim vs. the World (2010),"Action, Comedy, Fantasy","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart."
Stardust (2007),"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
The Little Mermaid (1989),"Animation, Adventure, Family",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
Three Thousand Years of Longing (2022),"Drama, Fantasy, Romance","A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom."
Zoey 102 (2023),"Comedy, Drama, Family",Follows Zoey Brooks and the rest of the Pacific Coast Academy alumni as they catch up for a wedding in the present day.
Love Again (I) (2023),"Comedy, Drama, Romance","A young woman tries to ease the pain of her fiancé's death by sending romantic texts to his old cell phone number, and forms a connection with the man the number has been reassigned to."
Inside Moves (1980),"Comedy, Drama, Romance","Handicapped after an unsuccessful suicide attempt, a man finds common ground in the troubled souls at a local dive bar."
Atonement (2007),"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
Cinderella (I) (2015),"Adventure, Drama, Family","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
Love Actually (2003),"Comedy, Drama, Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Purple Hearts (2022),"Drama, Music, Romance","In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur."
