Air (I) (2023),"Drama, Sport","Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
The Iron Claw (),"Biography, Drama, Sport","Follows the story of the Von Erichs, a dynasty of wrestlers who made a great impact on the sport from the 1960s to the present day."
Creed III (2023),"Drama, Sport","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
The Sandlot (1993),"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Challengers (2023),"Drama, Romance, Sport","Follows three players who knew each other when they were teenagers as they compete in a tennis tournament to be the world-famous grand slam winner, and reignite old rivalries on and off the court."
Champions (2023),"Comedy, Drama, Sport","A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined."
Rocky (1976),"Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
A League of Their Own (1992),"Comedy, Drama, Sport",Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.
Cars (2006),"Animation, Adventure, Comedy","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
Ford v Ferrari (2019),"Action, Biography, Drama",American car designerCarroll Shelbyand driverKen Milesbattle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
80 for Brady (2023),"Comedy, Drama, Sport",A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.
Happy Gilmore (1996),"Comedy, Sport",A rejected hockey player puts his skills to the golf course to save his grandmother's house.
Unbroken (I) (2014),"Action, Biography, Drama","After a near-fatal plane crash in WWII, OlympianLouis Zamperinispends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
Gran Turismo (2023),"Action, Adventure, Drama",The ultimate wish fulfilment tale of a teenage Gran Turismo player whose gaming skills won a series of Nissan competitions to become an actual professional race car driver. Based on a true story.
The Karate Kid (1984),"Action, Drama, Family",A martial arts master agrees to teach karate to a bullied teenager.
Moneyball (2011),"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
White Men Can't Jump (2023),"Comedy, Drama, Sport",A remake of the 1992 film about a pair of basketball hustlers who team up to earn extra cash.
Inside Moves (1980),"Comedy, Drama, Romance","Handicapped after an unsuccessful suicide attempt, a man finds common ground in the troubled souls at a local dive bar."
Untitled Formula One Racing Movie (),Sport,Follows a Formula One driver who comes out of retirement to mentor and team with a younger driver.
Dodgeball: A True Underdog Story (2004),"Comedy, Sport",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
Creed (II) (2015),"Action, Drama, Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Big George Foreman (2023),"Biography, Drama, Sport",The life and boxing career of George Foreman.
"I, Tonya (2017)","Biography, Comedy, Drama","Competitive ice skaterTonya Hardingrises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
She's the Man (2006),"Comedy, Romance, Sport","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
Rush (I) (2013),"Action, Biography, Drama",The merciless 1970s rivalry between Formula One rivalsJames HuntandNiki Lauda.
Warrior (2011),"Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Talladega Nights: The Ballad of Ricky Bobby (2006),"Comedy, Sport","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
